product_id,invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,product_group,product_name,stock
GBG207,568095,23437, 50'S CHRISTMAS GIFT BAG LARGE,48,9/23/2024 14:49,1.25,14911,BAG,GIFT BAG,1542
,565443,23345, DOLLY GIRL BEAKER,12,9/4/2024 14:22,1.25,12567,,,
,565865,23345, DOLLY GIRL BEAKER,12,9/7/2024 15:07,1.25,12637,,,
,565931,23345, DOLLY GIRL BEAKER,12,9/8/2024 10:35,1.25,12683,,,
,566163,23345, DOLLY GIRL BEAKER,12,9/9/2024 11:48,1.25,12637,,,
,566233,23345, DOLLY GIRL BEAKER,12,9/11/2024 11:04,1.25,12635,,,
,567378,23345, DOLLY GIRL BEAKER,12,9/20/2024 10:01,1.25,14911,,,
,566873,23391, I LOVE LONDON MINI BACKPACK,4,9/15/2024 13:31,4.15,12682,,,
,567300,23391, I LOVE LONDON MINI BACKPACK,4,9/19/2024 12:36,4.15,12724,,,
,567512,23391, I LOVE LONDON MINI BACKPACK,4,9/20/2024 15:03,4.15,12720,,,
,568708,23391, I LOVE LONDON MINI BACKPACK,4,9/28/2024 15:41,4.15,12393,,,
GBG207,567336,23438, RED SPOT GIFT BAG LARGE,24,9/19/2024 14:56,1.25,12621,BAG,GIFT BAG,176
GBG207,568095,23438, RED SPOT GIFT BAG LARGE,48,9/23/2024 14:49,1.25,14911,BAG,GIFT BAG,128
,566816,23007, SPACEBOY BABY GIFT SET,12,9/15/2024 10:53,14.95,12731,,,
,567530,23007, SPACEBOY BABY GIFT SET,1,9/21/2024 9:33,16.95,12390,,,
,568095,23007, SPACEBOY BABY GIFT SET,3,9/23/2024 14:49,16.95,14911,,,
,568137,23007, SPACEBOY BABY GIFT SET,5,9/25/2024 10:34,16.95,12488,,,
,568310,23007, SPACEBOY BABY GIFT SET,1,9/26/2024 12:48,16.95,14911,,,
,565748,23411, TRELLIS COAT RACK,6,9/6/2024 12:38,4.95,14156,,,
,567296,23411, TRELLIS COAT RACK,6,9/19/2024 12:19,4.95,12682,,,
,567378,23411, TRELLIS COAT RACK,6,9/20/2024 10:01,4.95,14911,,,
